Function	Depth	Time(s)	Result
Map.singleton	2	4.12	Complete (Passed 3)
Map.lookupLE	2	4.18	Complete (Passed 30)
Map.lookupGE	2	4.23	Complete (Passed 30)
Map.lookupGT	2	4.24	Complete (Passed 30)
Map.!	2	4.25	Complete (Passed 30)
Map.lookupLT	2	4.26	Complete (Passed 30)
Map.lookup	2	4.44	Complete (Passed 30)
Map.findWithDefault	2	4.70	Complete (Passed 30)
Map.\\	2	4.87	Complete (Passed 100)
Map.singleton	3	3.87	Complete (Passed 4)
Map.member	2	8.03	Complete (Passed 30)
Map.null	2	8.10	Complete (Passed 10)
Map.notMember	2	8.15	Complete (Passed 30)
Map.lookupGT	3	4.36	Complete (Passed 84)
Map.lookupLE	3	4.63	Complete (Passed 84)
Map.lookupLT	3	4.65	Complete (Passed 84)
Map.findWithDefault	3	4.29	Complete (Passed 84)
Map.lookupGE	3	4.75	Complete (Passed 84)
Map.!	3	4.88	Complete (Passed 84)
Map.lookup	3	4.71	Complete (Passed 84)
Map.singleton	4	4.46	Complete (Passed 5)
Map.\\	3	11.02	Complete (Passed 441)
Map.singleton	5	3.84	Complete (Passed 6)
Map.null	3	8.21	Complete (Passed 21)
Map.notMember	3	8.41	Complete (Passed 84)
Map.member	3	8.63	Complete (Passed 84)
Map.lookupLE	4	7.97	Complete (Passed 280)
Map.lookupGT	4	8.19	Complete (Passed 280)
Map.findWithDefault	4	7.88	Complete (Passed 280)
Map.lookupLT	4	8.26	Complete (Passed 280)
Map.lookupGE	4	8.18	Complete (Passed 280)
Map.!	4	8.08	Complete (Passed 280)
Map.lookup	4	8.25	Complete (Passed 280)
Map.singleton	6	4.73	Complete (Passed 7)
Map.singleton	7	4.03	Complete (Passed 8)
Map.null	4	9.56	Complete (Passed 56)
Map.member	4	13.01	Complete (Passed 280)
Map.singleton	8	4.66	Complete (Passed 9)
Map.notMember	4	13.46	Complete (Passed 280)
Map.singleton	9	4.30	Complete (Passed 10)
Map.singleton	10	4.55	Complete (Passed 11)
Map.null	5	14.64	Complete (Passed 153)
Map.singleton	11	4.27	Complete (Passed 12)
Map.singleton	12	4.83	Complete (Passed 13)
Map.lookupGT	5	31.76	Complete (Passed 918)
Map.lookupLT	5	31.50	Complete (Passed 918)
Map.lookupLE	5	31.92	Complete (Passed 918)
Map.lookup	5	31.93	Complete (Passed 918)
Map.!	5	32.19	Complete (Passed 918)
Map.findWithDefault	5	32.86	Complete (Passed 918)
Map.lookupGE	5	32.72	Complete (Passed 918)
Map.singleton	13	4.45	Complete (Passed 14)
Map.singleton	14	3.77	Complete (Passed 15)
Map.singleton	15	4.51	Complete (Passed 16)
Map.singleton	16	4.58	Complete (Passed 17)
Map.member	5	35.91	Complete (Passed 918)
Map.notMember	5	36.84	Complete (Passed 918)
Map.singleton	17	4.82	Complete (Passed 18)
Map.null	6	30.97	Complete (Passed 379)
Map.singleton	18	4.67	Complete (Passed 19)
Map.singleton	19	4.03	Complete (Passed 20)
Map.singleton	20	4.72	Complete (Passed 21)
Map.insert	2	4.86	Complete (Passed 30)
Map.insert	3	5.48	Complete (Passed 84)
Map.insert	4	10.91	Complete (Passed 280)
Map.\\	4	126.14	Complete (Passed 3136)
Map.insert	5	42.41	Complete (Passed 918)
Map.null	7	122.65	Complete (Passed 985)
Map.!	6	154.45	Complete (Passed 2653)
Map.findWithDefault	6	156.56	Complete (Passed 2653)
Map.lookup	6	160.93	Complete (Passed 2653)
Map.lookupLT	6	161.64	Complete (Passed 2653)
Map.lookupGT	6	162.26	Complete (Passed 2653)
Map.lookupLE	6	163.91	Complete (Passed 2653)
Map.lookupGE	6	164.32	Complete (Passed 2653)
Map.member	6	165.29	Complete (Passed 2653)
Map.notMember	6	165.80	Complete (Passed 2653)
Map.insert	6	192.90	Complete (Passed 2653)
Map.\\	5	600.10	TimeOut
Map.insertWith	2	4.48	Complete (Passed 30)
Map.insertWith	3	5.61	Complete (Passed 84)
Map.insertWith	4	10.81	Complete (Passed 280)
Map.null	8	600.03	TimeOut
Map.insertWithKey	2	4.82	Complete (Passed 30)
Map.!	7	600.01	TimeOut
Map.insertWith	5	41.47	Complete (Passed 918)
Map.insertWithKey	3	5.64	Complete (Passed 84)
Map.findWithDefault	7	600.00	TimeOut
Map.insertLookupWithKey	2	5.15	Complete (Passed 30)
Map.lookup	7	600.00	TimeOut
Map.lookupLT	7	600.00	TimeOut
Map.lookupGT	7	600.00	TimeOut
Map.delete	2	4.72	Complete (Passed 30)
Map.lookupLE	7	600.00	TimeOut
Map.lookupGE	7	600.00	TimeOut
Map.adjust	2	4.17	Complete (Passed 30)
Map.insertLookupWithKey	3	5.76	Complete (Passed 84)
Map.adjustWithKey	2	4.65	Complete (Passed 30)
Map.insertWithKey	4	10.97	Complete (Passed 280)
Map.delete	3	5.30	Complete (Passed 84)
Map.adjust	3	4.78	Complete (Passed 84)
Map.update	2	8.46	Complete (Passed 30)
Map.adjustWithKey	3	4.69	Complete (Passed 84)
Map.updateWithKey	2	7.84	Complete (Passed 30)
Map.updateLookupWithKey	2	7.78	Complete (Passed 30)
Map.insertLookupWithKey	4	10.14	Complete (Passed 280)
Map.delete	4	9.02	Complete (Passed 280)
Map.update	3	9.38	Complete (Passed 84)
Map.adjust	4	10.30	Complete (Passed 280)
Map.adjustWithKey	4	10.48	Complete (Passed 280)
Map.updateWithKey	3	9.96	Complete (Passed 84)
Map.member	7	600.00	TimeOut
Map.updateLookupWithKey	3	9.50	Complete (Passed 84)
Map.notMember	7	600.01	TimeOut
Map.findIndex	2	0.42	Complete (Passed 30)
Map.findIndex	3	0.59	Complete (Passed 84)
Map.alter	2	4.05	Complete (Passed 30)
Map.findIndex	4	3.79	Complete (Passed 280)
Map.alter	3	5.77	Complete (Passed 84)
Map.update	4	14.83	Complete (Passed 280)
Map.updateWithKey	4	15.27	Complete (Passed 280)
Map.updateLookupWithKey	4	14.76	Complete (Passed 280)
Map.alter	4	11.93	Complete (Passed 280)
