Function	Depth	Time(s)	Result
RBTree.remove	2	0.11	Complete (Passed 48)
RBTree.del	2	0.13	Complete (Passed 48)
RBTree.add	2	0.14	Complete (Passed 48)
RBTree.ins	2	0.15	Complete (Passed 48)
RBTree.remove	3	1.11	Complete (Passed 164)
RBTree.del	3	1.11	Complete (Passed 164)
RBTree.add	3	1.16	Complete (Passed 164)
RBTree.ins	3	1.26	Complete (Passed 164)
RBTree.remove	4	6.19	Complete (Passed 575)
RBTree.add	4	6.79	Complete (Passed 575)
RBTree.del	4	6.88	Complete (Passed 575)
RBTree.ins	4	7.12	Complete (Passed 575)
RBTree.remove	5	40.46	Complete (Passed 1962)
RBTree.del	5	43.33	Complete (Passed 1962)
RBTree.add	5	43.57	Complete (Passed 1962)
RBTree.ins	5	44.89	Complete (Passed 1962)
RBTree.remove	6	205.45	Complete (Passed 6377)
RBTree.add	6	207.10	Complete (Passed 6377)
RBTree.del	6	208.87	Complete (Passed 6377)
RBTree.ins	6	212.59	Complete (Passed 6377)
RBTree.remove	7	300.10	TimeOut
RBTree.append	2	0.08	Complete (Passed 11)
RBTree.append	3	0.26	Complete (Passed 28)
RBTree.append	4	1.11	Complete (Passed 73)
RBTree.add	7	300.00	TimeOut
RBTree.deleteMin	2	0.07	Complete (Passed 16)
RBTree.deleteMin	3	0.20	Complete (Passed 41)
RBTree.deleteMin	4	0.92	Complete (Passed 115)
RBTree.del	7	300.01	TimeOut
RBTree.append	5	5.47	Complete (Passed 200)
RBTree.lbalS	2	0.07	Complete (Passed 6)
RBTree.lbalS	3	0.25	Complete (Passed 24)
RBTree.lbalS	4	1.30	Complete (Passed 82)
RBTree.deleteMin	5	5.15	Complete (Passed 327)
RBTree.ins	7	300.00	TimeOut
RBTree.rbalS	2	0.10	Complete (Passed 6)
RBTree.rbalS	3	0.30	Complete (Passed 24)
RBTree.rbalS	4	1.38	Complete (Passed 82)
RBTree.lbalS	5	6.92	Complete (Passed 259)
RBTree.rbalS	5	7.21	Complete (Passed 259)
RBTree.deleteMin	6	24.41	Complete (Passed 911)
RBTree.append	6	29.20	Complete (Passed 572)
RBTree.lbalS	6	41.42	Complete (Passed 780)
RBTree.rbalS	6	41.16	Complete (Passed 780)
RBTree.deleteMin	7	142.13	Complete (Passed 2489)
RBTree.append	7	202.74	Complete (Passed 1672)
RBTree.lbalS	7	292.97	Complete (Passed 2273)
RBTree.rbalS	7	299.41	Complete (Passed 2273)
RBTree.deleteMin	8	300.10	TimeOut
RBTree.lbal	2	0.15	Complete (Passed 13)
RBTree.lbal	3	0.42	Complete (Passed 39)
RBTree.lbal	4	2.36	Complete (Passed 109)
RBTree.lbal	5	9.99	Complete (Passed 291)
RBTree.append	8	300.05	TimeOut
RBTree.rbal	2	0.14	Complete (Passed 13)
RBTree.rbal	3	0.51	Complete (Passed 39)
RBTree.rbal	4	2.34	Complete (Passed 109)
RBTree.lbal	6	50.96	Complete (Passed 770)
RBTree.rbal	5	9.35	Complete (Passed 291)
RBTree.rbal	6	51.90	Complete (Passed 770)
RBTree.lbalS	8	300.05	TimeOut
RBTree.makeRed	2	0.08	Complete (Passed 11)
RBTree.makeRed	3	0.26	Complete (Passed 28)
RBTree.makeRed	4	1.00	Complete (Passed 73)
RBTree.makeRed	5	4.39	Complete (Passed 200)
RBTree.rbalS	8	300.01	TimeOut
RBTree.makeBlack	2	0.15	Complete (Passed 23)
RBTree.makeBlack	3	0.47	Complete (Passed 57)
RBTree.makeBlack	4	1.97	Complete (Passed 147)
RBTree.makeBlack	5	8.48	Complete (Passed 401)
RBTree.makeRed	6	21.63	Complete (Passed 572)
RBTree.makeBlack	6	41.92	Complete (Passed 1145)
RBTree.makeRed	7	111.45	Complete (Passed 1672)
RBTree.lbal	7	281.31	Complete (Passed 2082)
RBTree.rbal	7	278.05	Complete (Passed 2082)
RBTree.makeBlack	7	224.85	Complete (Passed 3345)
RBTree.makeRed	8	300.21	TimeOut
RBTree.lbal	8	300.02	TimeOut
RBTree.rbal	8	300.06	TimeOut
RBTree.makeBlack	8	300.06	TimeOut
