Depth,Target,SmallCheck,Lazy-SmallCheck,Lazy-SmallCheck-slow
2,9.293349981307983,9.787297248840332e-2,4.4648170471191406e-2,1.3303756713867188e-4
3,3.2461330890655518,3.939460039138794,3.4999847412109375e-4,1.2509822845458984e-3
4,4.0632641315460205,nan,6.25300407409668e-3,8.931207656860352e-2
5,4.96236777305603,nan,0.5456440448760986,96.64958381652832
6,11.113533973693848,nan,999.4692940711975,nan
7,41.92086911201477,nan,nan,nan
8,87.78713011741638,nan,nan,nan
9,247.99280095100403,nan,nan,nan
10,1635.0736179351807,nan,nan,nan
11,nan,nan,nan,nan
12,nan,nan,nan,nan
13,nan,nan,nan,nan
14,nan,nan,nan,nan
15,nan,nan,nan,nan
16,nan,nan,nan,nan
17,nan,nan,nan,nan
18,nan,nan,nan,nan
19,nan,nan,nan,nan
20,nan,nan,nan,nan
