Depth,Target,SmallCheck,Lazy-SmallCheck,Lazy-SmallCheck-slow
2,4.9505391120910645,2.714681625366211e-2,1.7714500427246094e-4,5.738735198974609e-4
3,3.6632449626922607,118.85821390151978,2.1429061889648438e-3,1.7481088638305664e-2
4,5.8756890296936035,nan,0.22543811798095703,1.5932660102844238
5,23.005450010299683,nan,353.04247999191284,3162.845757007599
6,46.40617394447327,nan,nan,nan
7,98.32453393936157,nan,nan,nan
8,217.1482639312744,nan,nan,nan
9,1186.2077729701996,nan,nan,nan
10,nan,nan,nan,nan
11,nan,nan,nan,nan
12,nan,nan,nan,nan
13,nan,nan,nan,nan
14,nan,nan,nan,nan
15,nan,nan,nan,nan
16,nan,nan,nan,nan
17,nan,nan,nan,nan
18,nan,nan,nan,nan
19,nan,nan,nan,nan
20,nan,nan,nan,nan
