Depth,Target,SmallCheck,Lazy-SmallCheck,Lazy-SmallCheck-slow
2,5.3491809368133545,0.10475802421569824,9.298324584960938e-5,1.2993812561035156e-4
3,1.8818600177764893,0.22016310691833496,4.5108795166015625e-4,1.8880367279052734e-3
4,1.816547155380249,nan,2.0169973373413086e-2,0.39518094062805176
5,3.464293956756592,nan,32.18356895446777,nan
6,10.730216026306152,nan,nan,nan
7,21.852706909179688,nan,nan,nan
8,41.69629096984863,nan,nan,nan
9,78.56123399734497,nan,nan,nan
10,208.59322094917297,nan,nan,nan
11,552.8796570301056,nan,nan,nan
12,1508.0942430496216,nan,nan,nan
13,nan,nan,nan,nan
14,nan,nan,nan,nan
15,nan,nan,nan,nan
16,nan,nan,nan,nan
17,nan,nan,nan,nan
18,nan,nan,nan,nan
19,nan,nan,nan,nan
20,nan,nan,nan,nan
