Depth,Target,SmallCheck,Lazy-SmallCheck
2,13.841572999954224,1.0800361633300781e-4,4.00543212890625e-5
3,16.95137596130371,1.1301040649414063e-4,1.2612342834472656e-4
4,31.41902208328247,8.208036422729492e-3,2.2912025451660156e-4
5,166.69953799247742,1175.168303012848,2.953052520751953e-3
6,496.3276970386505,nan,0.8203279972076416
7,773.5411138534546,nan,nan
8,2723.779191017151,nan,nan
9,nan,nan,nan
10,nan,nan,nan
11,nan,nan,nan
12,nan,nan,nan
13,nan,nan,nan
14,nan,nan,nan
15,nan,nan,nan
16,nan,nan,nan
17,nan,nan,nan
18,nan,nan,nan
19,nan,nan,nan
20,nan,nan,nan
